CountryRegion,Total_Continent_Deaths
USA,162804.0
Brazil,98644.0
Mexico,50517.0
UK,46413.0
India,41638.0
Italy,35187.0
France,30312.0
Spain,28500.0
Peru,20424.0
Iran,17976.0
Russia,14606.0
Colombia,11939.0
Chile,9889.0
Belgium,9859.0
South Africa,9604.0
Germany,9252.0
Canada,8966.0
Netherlands,6153.0
Pakistan,6035.0
Ecuador,5877.0
Turkey,5798.0
Sweden,5766.0
Indonesia,5521.0
Iraq,5161.0
Egypt,4951.0
Argentina,4251.0
Bolivia,3465.0
Bangladesh,3306.0
Saudi Arabia,3055.0
Romania,2566.0
Philippines,2150.0
Guatemala,2119.0
Switzerland,1985.0
Ukraine,1819.0
Poland,1774.0
Ireland,1768.0
Portugal,1743.0
Panama,1574.0
Kyrgyzstan,1447.0
Honduras,1423.0
Afghanistan,1298.0
Algeria,1273.0
Dominican Republic,1246.0
Kazakhstan,1058.0
Japan,1026.0
Nigeria,930.0
Moldova,828.0
Armenia,772.0
Sudan,763.0
Austria,719.0
Serbia,621.0
Denmark,617.0
Hungary,600.0
Belarus,580.0
Israel,576.0
North Macedonia,517.0
El Salvador,513.0
Yemen,508.0
Oman,492.0
Azerbaijan,479.0
Kuwait,469.0
Morocco,449.0
Bulgaria,435.0
Kenya,399.0
Cameroon,391.0
Czechia,390.0
Bosnia and Herzegovina,384.0
Ethiopia,365.0
UAE,354.0
Finland,331.0
S. Korea,303.0
Norway,256.0
Australia,255.0
Senegal,223.0
DRC,215.0
Greece,210.0
Costa Rica,200.0
Ghana,199.0
Zambia,199.0
Venezuela,195.0
Albania,188.0
Qatar,178.0
Uzbekistan,175.0
Haiti,171.0
Mauritania,157.0
Bahrain,156.0
Croatia,155.0
Malawi,137.0
Madagascar,134.0
Malaysia,125.0
Slovenia,125.0
Mali,124.0
Nicaragua,123.0
Luxembourg,119.0
Libya,107.0
Ivory Coast,103.0
Somalia,93.0
Palestine,92.0
Cuba,88.0
Zimbabwe,84.0
Equatorial Guinea,83.0
Lithuania,81.0
Liberia,78.0
Chad,76.0
Lebanon,70.0
Niger,69.0
Sierra Leone,67.0
Paraguay,66.0
Nepal,65.0
Angola,64.0
Estonia,63.0
Tajikistan,62.0
Montenegro,60.0
Djibouti,59.0
CAR,59.0
Congo,58.0
Thailand,58.0
Eswatini,55.0
Burkina Faso,54.0
Andorra,52.0
Gabon,51.0
Tunisia,51.0
Guinea,49.0
Syria,48.0
South Sudan,47.0
French Guiana,47.0
Channel Islands,47.0
Hong Kong,46.0
San Marino,42.0
Mayotte,39.0
Benin,38.0
Uruguay,37.0
Latvia,32.0
Suriname,29.0
Slovakia,29.0
Singapore,27.0
Guinea-Bissau,27.0
Cabo Verde,27.0
Isle of Man,24.0
Lesotho,23.0
Guyana,22.0
New Zealand,22.0
Togo,22.0
Tanzania,21.0
Maldives,19.0
Cyprus,19.0
Georgia,17.0
Gambia,16.0
Sint Maarten,16.0
Sao Tome and Principe,15.0
Martinique,15.0
Mozambique,15.0
Namibia,15.0
Guadeloupe,14.0
Bahamas,14.0
Diamond Princess,13.0
Jamaica,12.0
Jordan,11.0
Sri Lanka,11.0
Vietnam,10.0
Iceland,10.0
Mauritius,10.0
Malta,9.0
Bermuda,9.0
Trinidad and Tobago,8.0
Taiwan,7.0
Barbados,7.0
Comoros,7.0
Myanmar,6.0
Uganda,5.0
Réunion,5.0
Rwanda,5.0
Monaco,4.0
Antigua and Barbuda,3.0
Aruba,3.0
Brunei ,3.0
Papua New Guinea,3.0
Saint Martin,3.0
Turks and Caicos,2.0
Botswana,2.0
Belize,2.0
Burundi,1.0
Cayman Islands,1.0
Curaçao,1.0
Fiji,1.0
Montserrat,1.0
Liechtenstein,1.0
Western Sahara,1.0
Vatican City,0.0
Timor-Leste,0.0
St. Vincent Grenadines,0.0
Seychelles,0.0
Saint Kitts and Nevis,0.0
Saint Lucia,0.0
Macao,0.0
Mongolia,0.0
New Caledonia,0.0
Gibraltar,0.0
Greenland,0.0
Grenada,0.0
Laos,0.0
French Polynesia,0.0
Faeroe Islands,0.0
Falkland Islands,0.0
Eritrea,0.0
Dominica,0.0
Bhutan,0.0
Cambodia,0.0
Caribbean Netherlands,0.0
